 4.010, 3.406,579.932,-9.423,-2.408, 0.047
 3.962, 3.410,579.261,-9.301,-2.407, 0.145
 4.207, 3.478,577.483,-9.248,-2.603, 0.125
 4.410, 3.696,579.591,-9.113,-2.730, 0.125
 4.721, 3.971,578.864,-9.117,-2.859, 0.092
 4.643, 3.898,579.205,-9.178,-2.796, 0.075
 4.674, 3.982,580.938,-9.233,-2.860, 0.127
 4.576, 3.721,580.557,-9.297,-2.794, 0.083
 4.823, 3.747,581.313,-9.168,-2.794, 0.122
 4.753, 3.839,579.866,-9.175,-2.793, 0.105
 4.825, 3.759,579.158,-9.304,-2.794, 0.105
 4.689, 3.639,579.547,-9.365,-2.731, 0.089
 4.690, 3.461,578.805,-9.619,-2.728, 0.077
 4.558, 3.297,581.246,-9.796,-2.666, 0.065
 4.713, 3.488,580.489,-9.798,-2.536, 0.176
 4.641, 3.433,579.840,-9.800,-2.406, 0.159
 4.373, 3.205,579.856,-9.800,-2.406, 0.128
 4.424, 3.350,578.434,-9.932,-2.277, 0.196
 4.264, 3.555,580.539,-9.795,-2.144, 0.137
 4.361, 3.484,579.811,-9.923,-2.018, 0.075
 4.119, 3.449,580.523,-9.919,-1.888, 0.145
 3.929, 3.541,580.879,-9.979,-1.825, 0.145
 3.939, 3.396,579.138,-10.050,-1.758, 0.102
 4.069, 3.452,580.573,-10.043,-1.759, 0.006
 4.060, 3.524,580.152,-10.232,-1.563, 0.125
 4.062, 3.398,580.171,-10.232,-1.563, 0.068
 3.901, 3.407,580.513,-10.293,-1.500, 0.094
 3.796, 3.411,579.101,-10.299,-1.500, 0.103
 4.079, 3.383,581.208,-10.415,-1.501, 0.155
 4.214, 3.365,580.778,-10.479,-1.435, 0.174
 4.164, 3.539,580.150,-10.357,-1.434, 0.135
 3.939, 3.585,579.813,-10.422,-1.500, 0.167
 4.099, 3.292,578.054,-10.368,-1.563, 0.226
 4.208, 3.173,578.759,-10.490,-1.564, 0.185
 4.134, 2.797,578.737,-10.742,-1.565, 0.136
 3.946, 2.733,579.393,-10.864,-1.565, 0.108
 4.174, 2.611,580.778,-10.982,-1.436, 0.117
 4.063, 2.632,580.070,-10.986,-1.433, 0.186
 4.019, 2.710,581.509,-10.978,-1.307, 0.080
 4.047, 3.127,579.759,-10.922,-1.110, 0.168
 3.927, 3.379,579.419,-10.860,-1.046, 0.150
 3.766, 3.331,580.150,-10.857,-1.050, 0.182
 3.540, 3.415,578.737,-10.737,-0.919, 0.186
 3.648, 3.313,580.174,-10.730,-0.919, 0.150
 3.944, 3.287,579.732,-10.795,-0.980, 0.238
 3.997, 3.293,580.157,-10.856,-0.917, 0.164
